model,mode,case_id,category,semantic_program_id,template_family_id,provider_ok,latency_s,prompt_tokens,completion_tokens,json_valid,schema_valid,status_correct,order_exact,constraints_exact,state_preserved_when_blocked,semantic_ok,unsafe_state_change,unintended_drift,identity_error,identity_observable,identity_fidelity,operation_executable,authorized_write_precision,authorized_write_recall,collateral_write_count,status_error,order_error,constraint_error,operation_error,error
Qwen/Qwen2.5-7B-Instruct-local,line_patch,modifier_add_scoped_014,modifier_add_scoped,modifier_add_scoped:template-06,modifier_add_scoped:template-06,True,1.6922101881355047,1655,122,True,False,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,False,True,False,True,operation_0_changes_extra_keys;schema_invalid_no_execution
Qwen/Qwen2.5-7B-Instruct-local,line_patch,modifier_reversal_000,modifier_reversal,modifier_reversal:template-00,modifier_reversal:template-00,True,1.5746344905346632,1657,113,True,True,True,False,True,,False,False,False,False,True,True,True,0.5,1.0,1,False,True,False,False,
Qwen/Qwen2.5-7B-Instruct-local,json_patch,modifier_reversal_000,modifier_reversal,modifier_reversal:template-00,modifier_reversal:template-00,True,1.2242363151162863,1231,89,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,False,True,False,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,modifier_reversal_000,modifier_reversal,modifier_reversal:template-00,modifier_reversal:template-00,True,2.095256883651018,1321,156,True,False,True,False,True,,False,False,False,False,True,True,True,0.0,0.0,1,False,True,False,False,updated_order_item_1_bad_keys;updated_order_item_1_missing_keys;updated_order_item_1_bad_special_instructions
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,quantity_decrease_028,quantity_decrease,quantity_decrease:template-04,quantity_decrease:template-04,True,2.27264560572803,1309,170,True,False,True,True,True,,False,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,updated_order_bad_keys
Qwen/Qwen2.5-7B-Instruct-local,json_patch,quantity_decrease_028,quantity_decrease,quantity_decrease:template-04,quantity_decrease:template-04,True,0.8513678200542927,1219,60,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,False,True,False,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,line_patch,quantity_decrease_028,quantity_decrease,quantity_decrease:template-04,quantity_decrease:template-04,True,1.5005958154797554,1645,107,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,line_patch,quantity_increase_021,quantity_increase,quantity_increase:template-05,quantity_increase:template-05,True,1.4078553896397352,1648,100,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,json_patch,quantity_increase_021,quantity_increase,quantity_increase:template-05,quantity_increase:template-05,True,0.8545693457126617,1222,60,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,False,True,False,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,quantity_increase_021,quantity_increase,quantity_increase:template-05,quantity_increase:template-05,True,2.2678264807909727,1312,169,True,False,True,True,True,,False,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,updated_order_bad_keys
Qwen/Qwen2.5-7B-Instruct-local,json_patch,remove_scoped_duplicate_029,remove_scoped_duplicate,remove_scoped_duplicate:template-05,remove_scoped_duplicate:template-05,True,1.75701117888093,1265,130,True,True,False,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,True,True,False,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,remove_scoped_duplicate_029,remove_scoped_duplicate,remove_scoped_duplicate:template-05,remove_scoped_duplicate:template-05,True,2.9782426226884127,1355,223,True,True,True,False,True,,False,False,True,True,True,False,True,0.0,0.0,3,False,True,False,False,
Qwen/Qwen2.5-7B-Instruct-local,line_patch,remove_scoped_duplicate_029,remove_scoped_duplicate,remove_scoped_duplicate:template-05,remove_scoped_duplicate:template-05,True,1.280707847326994,1691,89,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,json_patch,replace_item_016,replace_item,replace_item:template-00,replace_item:template-00,True,1.5127955004572868,1222,111,True,True,False,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,True,True,False,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,replace_item_016,replace_item,replace_item:template-00,replace_item:template-00,True,2.8873901274055243,1312,217,True,False,False,False,True,,False,False,False,False,True,True,True,0.0,0.0,2,True,True,False,False,bad_top_level_keys;updated_order_bad_keys;bad_reasons
Qwen/Qwen2.5-7B-Instruct-local,line_patch,replace_item_016,replace_item,replace_item:template-00,replace_item:template-00,True,2.5512687787413597,1648,188,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,line_patch,size_change_scoped_009,size_change_scoped,size_change_scoped:template-01,size_change_scoped:template-01,True,1.5514649972319603,1655,111,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,size_change_scoped_009,size_change_scoped,size_change_scoped:template-01,size_change_scoped:template-01,True,2.3184804804623127,1319,173,True,False,True,True,True,,False,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,updated_order_bad_keys
Qwen/Qwen2.5-7B-Instruct-local,json_patch,size_change_scoped_009,size_change_scoped,size_change_scoped:template-01,size_change_scoped:template-01,True,0.8547038044780493,1229,60,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,False,True,False,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,json_patch,stale_reference_023,stale_reference,stale_reference:template-07,stale_reference:template-07,True,1.3299092296510935,1225,97,True,True,True,True,True,True,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,stale_reference_023,stale_reference,stale_reference:template-07,stale_reference:template-07,True,2.71941970102489,1315,204,True,True,True,False,True,False,False,True,True,True,True,False,True,0.0,0.0,1,False,True,False,False,
Qwen/Qwen2.5-7B-Instruct-local,line_patch,stale_reference_023,stale_reference,stale_reference:template-07,stale_reference:template-07,True,1.0307901836931705,1651,71,True,True,True,True,True,True,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,unavailable_add_014,unavailable_add,unavailable_add:template-06,unavailable_add:template-06,True,2.057749714702368,1271,153,True,True,True,True,True,True,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,line_patch,unavailable_add_014,unavailable_add,unavailable_add:template-06,unavailable_add:template-06,True,1.231118531897664,1607,86,True,True,False,False,True,False,False,True,True,True,True,False,True,0.0,0.0,1,True,True,False,False,
Qwen/Qwen2.5-7B-Instruct-local,json_patch,unavailable_add_014,unavailable_add,unavailable_add:template-06,unavailable_add:template-06,True,0.8536511715501547,1181,60,True,True,False,True,True,True,False,True,False,False,True,True,False,1.0,1.0,0,True,False,False,True,missing_or_stale_version_test
