model,mode,category,n,semantic_ok,unsafe_state_change,unintended_drift,identity_error
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,modifier_add_scoped,30,96.66666666666667,0.0,3.3333333333333335,3.3333333333333335
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,modifier_reversal,30,26.666666666666668,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,quantity_decrease,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,quantity_increase,30,90.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,remove_scoped_duplicate,30,93.33333333333333,0.0,6.666666666666667,6.666666666666667
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,replace_item,30,96.66666666666667,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,size_change_scoped,30,80.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,stale_reference,30,96.66666666666667,3.3333333333333335,3.3333333333333335,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,unavailable_add,30,26.666666666666668,66.66666666666666,46.666666666666664,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,add_item,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,constraint_add_safe,30,40.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,constraint_new_conflict,30,10.0,16.666666666666664,3.3333333333333335,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,modifier_add_scoped,30,86.66666666666667,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,modifier_reversal,30,96.66666666666667,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,quantity_decrease,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,quantity_increase,30,90.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,remove_scoped_duplicate,30,50.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,replace_item,30,96.66666666666667,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,size_change_scoped,30,90.0,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,stale_reference,30,93.33333333333333,6.666666666666667,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,rewrite,unavailable_add,30,36.666666666666664,60.0,40.0,0.0
Qwen/Qwen3-32B,line_patch,add_item,30,90.0,0.0,3.3333333333333335,0.0
Qwen/Qwen3-32B,line_patch,constraint_add_safe,30,66.66666666666666,0.0,0.0,0.0
Qwen/Qwen3-32B,line_patch,constraint_new_conflict,30,0.0,23.333333333333332,0.0,0.0
Qwen/Qwen3-32B,line_patch,modifier_add_scoped,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-32B,line_patch,modifier_reversal,30,90.0,0.0,0.0,0.0
Qwen/Qwen3-32B,line_patch,quantity_decrease,30,96.66666666666667,0.0,0.0,0.0
Qwen/Qwen3-32B,line_patch,quantity_increase,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-32B,line_patch,remove_scoped_duplicate,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-32B,line_patch,replace_item,30,93.33333333333333,0.0,0.0,0.0
Qwen/Qwen3-32B,line_patch,size_change_scoped,30,96.66666666666667,0.0,0.0,0.0
Qwen/Qwen3-32B,line_patch,stale_reference,30,93.33333333333333,6.666666666666667,6.666666666666667,0.0
Qwen/Qwen3-32B,line_patch,unavailable_add,30,43.333333333333336,56.666666666666664,43.333333333333336,0.0
Qwen/Qwen3-32B,rewrite,add_item,30,60.0,36.666666666666664,3.3333333333333335,0.0
Qwen/Qwen3-32B,rewrite,constraint_add_safe,30,56.666666666666664,0.0,0.0,0.0
Qwen/Qwen3-32B,rewrite,constraint_new_conflict,30,40.0,20.0,0.0,0.0
Qwen/Qwen3-32B,rewrite,modifier_add_scoped,30,70.0,30.0,0.0,0.0
Qwen/Qwen3-32B,rewrite,modifier_reversal,30,90.0,3.3333333333333335,0.0,0.0
Qwen/Qwen3-32B,rewrite,quantity_decrease,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-32B,rewrite,quantity_increase,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-32B,rewrite,remove_scoped_duplicate,30,40.0,0.0,6.666666666666667,6.666666666666667
Qwen/Qwen3-32B,rewrite,replace_item,30,33.33333333333333,66.66666666666666,3.3333333333333335,3.3333333333333335
Qwen/Qwen3-32B,rewrite,size_change_scoped,30,73.33333333333333,20.0,0.0,0.0
Qwen/Qwen3-32B,rewrite,stale_reference,30,90.0,10.0,3.3333333333333335,0.0
Qwen/Qwen3-32B,rewrite,unavailable_add,30,23.333333333333332,76.66666666666667,53.333333333333336,0.0
google/gemma-2-2b-it,line_patch,add_item,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,constraint_add_safe,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,constraint_new_conflict,30,0.0,56.666666666666664,0.0,0.0
google/gemma-2-2b-it,line_patch,modifier_add_scoped,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,modifier_reversal,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,quantity_decrease,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,quantity_increase,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,remove_scoped_duplicate,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,replace_item,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,size_change_scoped,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,line_patch,stale_reference,30,0.0,43.333333333333336,0.0,0.0
google/gemma-2-2b-it,line_patch,unavailable_add,30,0.0,33.33333333333333,0.0,0.0
google/gemma-2-2b-it,rewrite,add_item,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,constraint_add_safe,30,0.0,0.0,3.3333333333333335,0.0
google/gemma-2-2b-it,rewrite,constraint_new_conflict,30,0.0,23.333333333333332,6.666666666666667,0.0
google/gemma-2-2b-it,rewrite,modifier_add_scoped,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,modifier_reversal,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,quantity_decrease,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,quantity_increase,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,remove_scoped_duplicate,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,replace_item,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,size_change_scoped,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,stale_reference,30,0.0,0.0,0.0,0.0
google/gemma-2-2b-it,rewrite,unavailable_add,30,0.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,add_item,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,constraint_add_safe,30,50.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,constraint_new_conflict,30,0.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,modifier_add_scoped,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,modifier_reversal,30,53.333333333333336,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,quantity_decrease,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,quantity_increase,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,remove_scoped_duplicate,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,replace_item,30,6.666666666666667,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,size_change_scoped,30,96.66666666666667,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,stale_reference,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,line_patch,unavailable_add,30,66.66666666666666,33.33333333333333,33.33333333333333,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,add_item,30,96.66666666666667,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,constraint_add_safe,30,40.0,0.0,3.3333333333333335,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,constraint_new_conflict,30,0.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,modifier_add_scoped,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,modifier_reversal,30,76.66666666666667,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,quantity_decrease,30,90.0,0.0,10.0,10.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,quantity_increase,30,96.66666666666667,0.0,3.3333333333333335,3.3333333333333335
meta-llama/Llama-3.3-70B-Instruct,rewrite,remove_scoped_duplicate,30,90.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,replace_item,30,76.66666666666667,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,size_change_scoped,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,stale_reference,30,100.0,0.0,0.0,0.0
meta-llama/Llama-3.3-70B-Instruct,rewrite,unavailable_add,30,53.333333333333336,36.666666666666664,36.666666666666664,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,add_item,30,46.666666666666664,0.0,20.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,constraint_add_safe,30,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,constraint_new_conflict,30,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,modifier_add_scoped,30,63.33333333333333,0.0,10.0,10.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,modifier_reversal,30,3.3333333333333335,0.0,30.0,30.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,quantity_decrease,30,70.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,quantity_increase,30,83.33333333333334,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,remove_scoped_duplicate,30,96.66666666666667,0.0,3.3333333333333335,3.3333333333333335
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,replace_item,30,16.666666666666664,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,size_change_scoped,30,80.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,stale_reference,30,46.666666666666664,53.333333333333336,53.333333333333336,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,line_patch,unavailable_add,30,70.0,30.0,20.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,add_item,30,16.666666666666664,3.3333333333333335,36.666666666666664,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,constraint_add_safe,30,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,constraint_new_conflict,30,0.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,modifier_add_scoped,30,26.666666666666668,0.0,73.33333333333333,73.33333333333333
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,modifier_reversal,30,40.0,0.0,13.333333333333334,13.333333333333334
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,quantity_decrease,30,50.0,0.0,20.0,16.666666666666664
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,quantity_increase,30,30.0,3.3333333333333335,23.333333333333332,20.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,remove_scoped_duplicate,30,23.333333333333332,0.0,30.0,23.333333333333332
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,replace_item,30,3.3333333333333335,10.0,26.666666666666668,13.333333333333334
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,size_change_scoped,30,16.666666666666664,0.0,36.666666666666664,30.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,stale_reference,30,46.666666666666664,50.0,43.333333333333336,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,rewrite,unavailable_add,30,50.0,50.0,50.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,add_item,30,90.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,constraint_add_safe,30,50.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,constraint_new_conflict,30,0.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,modifier_add_scoped,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,modifier_reversal,30,73.33333333333333,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,quantity_decrease,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,quantity_increase,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,remove_scoped_duplicate,30,83.33333333333334,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,replace_item,30,60.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,size_change_scoped,30,83.33333333333334,0.0,3.3333333333333335,3.3333333333333335
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,stale_reference,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,line_patch,unavailable_add,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,add_item,30,93.33333333333333,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,constraint_add_safe,30,43.333333333333336,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,constraint_new_conflict,30,13.333333333333334,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,modifier_add_scoped,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,modifier_reversal,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,quantity_decrease,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,quantity_increase,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,remove_scoped_duplicate,30,73.33333333333333,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,replace_item,30,63.33333333333333,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,size_change_scoped,30,70.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,stale_reference,30,100.0,0.0,0.0,0.0
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,rewrite,unavailable_add,30,100.0,0.0,0.0,0.0
